,Open,High,Low,Close,Volume
0,273.3999938964844,277.1499938964844,272.6199951171875,276.92999267578125,6327382
1,276.9599914550781,277.29998779296875,275.57000732421875,276.239990234375,3681691
2,276.239990234375,278.260009765625,275.8500061035156,275.85009765625,3373092
3,275.8500061035156,277.1499938964844,275.7640075683594,277.04998779296875,1790997
4,277.0799865722656,279.989990234375,276.7900085449219,278.92999267578125,4155889
5,278.9599914550781,281.0400085449219,274.9132995605469,277.65789794921875,6493823
6,277.6449890136719,277.82000732421875,272.17999267578125,272.2699890136719,4760780
7,278.0799865722656,278.6099853515625,275.3399963378906,277.898193359375,6348693
8,277.8900146484375,280.9800109863281,277.5,280.06500244140625,4814235
9,280.06500244140625,281.05999755859375,279.5899963378906,280.4800109863281,3413526
10,280.4700012207031,280.67999267578125,278.8638000488281,279.4599914550781,3525020
11,279.4800109863281,279.92999267578125,276.7452087402344,276.7452087402344,3550983
12,276.760009765625,278.79998779296875,275.20001220703125,276.82501220703125,5581292
13,276.7799987792969,279.04998779296875,276.3500061035156,277.6300048828125,4671078
14,277.3399963378906,278.260009765625,275.2799987792969,277.9599914550781,5683198
15,277.9599914550781,279.7099914550781,276.9599914550781,277.25,4551751
16,277.25,279.7699890136719,276.7157897949219,277.739990234375,3374472
17,277.760009765625,278.739990234375,277.5199890136719,278.5,2559237
18,278.510009765625,279.20001220703125,277.7099914550781,278.2449951171875,2216361
19,278.25,280.2799987792969,278.2300109863281,279.9718933105469,2670036
20,279.9800109863281,280.6300048828125,279.2099914550781,280.5799865722656,3180315
21,280.5,281.4588928222656,278.510009765625,279.875,6188708
22,279.8599853515625,279.8699951171875,277.2900085449219,277.92999267578125,3663796
23,277.9599914550781,278.0892028808594,275.57000732421875,276.83270263671875,3095783
24,276.8800048828125,276.91351318359375,275.5199890136719,276.18389892578125,2175014
25,276.19000244140625,277.1700134277344,275.8999938964844,276.5799865722656,2008118
26,276.5849914550781,277.239990234375,276.1129150390625,276.9800109863281,2300620
27,276.9700012207031,277.1099853515625,275.72430419921875,276.3800048828125,3088296
28,275.7900085449219,276.1400146484375,272.739990234375,273.5899963378906,4848154
29,273.6300048828125,273.6700134277344,272.04510498046875,273.42999267578125,2978729
30,273.4114990234375,274.1000061035156,273.0400085449219,273.239990234375,2495002
31,273.2200012207031,273.6300048828125,273.0000915527344,273.2900085449219,1655442
32,273.2843933105469,273.5,272.1199951171875,273.0400085449219,2512878
33,273.04998779296875,274.5799865722656,272.69000244140625,274.1300964355469,2010929
34,274.1199951171875,275.3299865722656,273.8299865722656,275.260009765625,2182671
35,278.9599914550781,280.6600036621094,278.4100036621094,279.760009765625,5436359
36,279.7799987792969,279.8699951171875,278.4100036621094,279.44000244140625,2792255
37,279.4800109863281,279.9800109863281,279.0799865722656,279.610107421875,2151096
38,279.631591796875,280.1400146484375,279.0199890136719,280.0799865722656,1652425
39,280.1000061035156,280.1000061035156,278.9599914550781,279.3900146484375,1650298
40,279.3999938964844,280.79998779296875,279.0199890136719,280.7099914550781,2797442
41,280.67999267578125,281.1398010253906,280.1000061035156,280.5199890136719,3001465
42,284.2300109863281,284.4599914550781,282.2099914550781,283.5299987792969,6876363
43,283.54998779296875,283.75,282.1700134277344,282.70001220703125,2984335
44,282.70001220703125,283.5899963378906,282.44000244140625,282.8900146484375,2180572
45,282.8900146484375,282.8900146484375,281.590087890625,281.7699890136719,2167058
46,281.760009765625,283.076904296875,281.4800109863281,283.0299987792969,1980199
47,283.0199890136719,283.69000244140625,282.8299865722656,283.614990234375,2386793
